,0,1,2,3,4,5,6,7,8,9
ham,-0.0572637357518072,-0.025153622442964745,-0.036588664001078554,0.008799702247645569,-0.0625452440790932,-0.04171988424312666,0.0037320584733051268,-0.03279595123440623,0.0706904363641778,-0.02230797803862573
ham,-0.18797897412232645,-0.08192911273246059,0.18840878656914023,-0.019328021931668632,0.02223499207257582,-0.029007977176224182,-0.019277838750488926,-0.009086675745770378,-0.0025979389210163493,-0.0018862616741626894
spam,-0.02619647835678357,-0.01188961065100295,-0.06050621854112262,-0.09121151686775697,0.10164984098476186,0.059196216896149983,0.03454890905944968,-0.08546266428529642,0.0546309996589152,0.046846329313912444
ham,-0.08227048343735974,-0.04596459042038775,-0.014747227007388182,-0.008926129569875587,-0.11774981848977545,-0.025048493604452802,0.05368357176768956,-0.05517433566837513,-0.03920886208220399,-0.0481924840622597
ham,-0.012774931740228933,-0.029408005155867403,-0.0332614643089344,0.020970832982782694,-0.025907276744876504,0.04551412093904078,0.01065582777295794,-0.04035826867334541,-0.04517343608948016,0.000479731265036833
spam,0.006236765119848005,-0.06036853354895607,0.08842423838262198,0.002727639286182188,0.09405453274006342,0.14235352279423147,0.0049603825766963705,-0.032662195605636,-0.03128218813315168,-0.015330368315770273
ham,0.012491320873960663,-0.033477862451649396,-0.022981443940406902,0.012791259379329619,-0.058789103502753244,0.09557199074564654,0.10911408706652904,0.17061936988380982,-0.08616126740229642,0.13075362230047818
ham,-0.01367717161475307,-0.018748196474717402,-0.057237878194861654,-0.08806609279528457,0.07921545563253392,-0.03830941407738655,-0.018282232773574214,0.019689998639095044,-0.0522317318996158,0.050867035761482805
spam,0.029935108699731428,0.05633596336741661,-0.02062358355209078,-0.15933930880690725,0.14361348810121163,-0.014155677042879258,0.01657582462129337,-0.06539325811223864,-0.03007195876989618,-0.012403718170385578
spam,-0.0033105618140882283,0.03665994667816066,-0.103999279845223,-0.17648662855297603,0.2542292538396201,0.051161619688711045,-0.04590877119144144,0.07360869747755446,0.0202698939286022,-0.006434385475749173
ham,0.01963082695561562,-0.02495516087820762,-0.03225152347593666,0.020645167755763333,0.019671501039199072,0.11710805181368782,0.03430001331844487,-0.07729265201481884,0.03797366522199639,0.04487446543124415
spam,-0.001636354345684494,-0.02916195920835124,-0.06932377014894091,-0.12172418496528813,0.1343113861721608,0.08786980210474316,0.029613225926548387,-0.0870288207405062,-0.0002408653850349239,0.053515669757831695
spam,0.03083319963511775,0.004083052584648556,-0.046325744758185794,-0.12243533350741356,0.14115646021050615,0.005178629284645664,-0.04904545724359442,-0.04437204848112551,0.03840009976467312,-0.029813445444719897
ham,0.12298422333394551,-0.011653206113136534,-0.0032778050345177627,-0.014036841388319588,0.0845145818434355,0.03285225760090487,-0.062487033857492505,0.04919818374885185,0.003617722717242961,0.04394215617939963
ham,-0.00921919322580965,-0.0208122372490584,-0.053846916844432165,-0.009719444734006558,0.045788685186429506,-0.0085927714079948,-0.06561080896500683,-0.023182174002322933,0.019069435257354793,-0.001225607893090975
spam,-0.0148609630074168,-0.021710932225535242,-0.06573535889735732,-0.0319609109176994,0.06181919847624605,0.011836679607609273,-0.06812327131863895,0.029518468528020175,0.0741926368496617,-0.03182682864831978
ham,-0.061751096290640926,-0.030047221972647083,-0.025881466998596333,0.005334025714628391,-0.060513613533884354,-0.06452529994553706,-0.019238165782175767,-0.028791000524032925,-0.008706165671436901,-0.030195439744803508
ham,-0.017874018484127806,-0.0345391803066906,-0.019849061874458077,-0.01055958285867413,-0.07032128130762436,-0.053415767819237195,-0.033122216854897954,-0.01158093416635834,-0.036633455628182356,0.0007288480628497607
ham,-0.013561572638415677,-0.03553856003077825,-0.049540706538454236,0.0430149566262003,0.004518953912553749,0.02735386422442491,-0.11299836001886904,0.07186555780790341,0.07408254922313175,-0.06131478424059172
spam,-0.03301435554635481,-0.031358285387229914,-0.05321517871945871,-0.054717924244749166,0.04555052256569654,0.025416520460411166,-0.009634438602493928,-0.04885305751677978,0.020670471447170182,0.01908292016120017
ham,0.0992464275013564,-0.02148424313504342,0.03459721671171785,0.01673598233947462,-0.05163460413742793,-0.04573273830237574,-0.10668587554446507,-0.0020733922818129444,-0.06564512116442509,0.004551722900246052
ham,-0.03272547447416096,-0.027521043449419615,-0.053577610568454774,-0.053787007372540975,0.047020255656773424,0.00898449735433912,0.025760309623662506,-0.057595597187638646,0.033296458008027795,0.04803995807373797
ham,-0.07586218107134805,-0.04147796169063685,-0.025827633505095707,0.015949348714315324,-0.13588535230189927,-0.010498105991011803,0.061380212155859655,-0.024265126113665672,0.011663588216079412,-0.06755550308192522
ham,-0.14830718344431265,-0.07078519939637944,0.015499033035606697,-0.033859647908670264,-0.15919770769474464,-0.03193396829384016,0.1218327030834043,-0.031657998813451965,0.0008952321185710652,0.01764140839491602
ham,0.05812739942848671,-0.005232508006218593,0.032215839070862735,0.00674152017866517,-0.025295884082161536,-0.012579615028773746,0.03256213488242821,-0.008761597174616314,-0.00028501704535328437,-0.07512904723814501
ham,-0.022299017852901133,-0.03533213383704558,-0.04856834031349596,-0.0030222190932145533,-0.03347358674381588,0.036979296680781135,-0.020403022013754962,-0.00849603061948473,-0.05465117100412842,-0.0003701475308658601
ham,-0.02867733870755991,-0.02131788665820892,-0.045033884262405,-0.04867887067936942,-0.020847764927647814,-0.043122612962114934,-0.02904344933076571,0.016508674831939716,-0.06147979364776631,0.004644311041040503
ham,0.3188660895193828,0.03024617179529475,0.18255442411262876,-0.009261820437646125,-0.026733311759693235,-0.12746876834676524,-0.0423977055094277,0.016470602052690592,0.0037050529312542537,0.02952225290016653
ham,0.059903207481618016,0.10324463327763381,0.03488062730178742,0.08408443503622133,-0.029777850538649647,0.05964161729600545,-0.020590726779327124,0.016590136975878585,0.0882289880370935,-0.1878980060100081
ham,-0.0051866044382273355,-0.0324111996349135,-0.011691190905304863,0.05645314928861191,-0.0723930725396434,0.017828355364345978,-0.04541191839749694,-0.043248162533555005,-0.12715260189776736,-0.023738851966443156
ham,0.0966601266299771,-0.0263841734847657,0.013125140791761376,0.057222885091872344,-0.027550676497007376,0.12839070313112796,-0.0020841827553555537,0.021058982052143745,-0.1045772550728847,-0.005498469352269053
ham,0.039402902964512695,-0.02758365922779255,-0.014270067574220441,0.12006536868407776,-0.09869894656656535,0.0691058669633768,-0.04840268965701201,0.00026454093804320763,0.03506783976807559,-0.03398777737746462
